brand,rating,review,date_experience
Shein,3,"Bonjour, j'ai la dernièrement été très déçu car plusieurs livraisons ne sont pas arrivées, jamais vu les colis et du coup changement je me fais livrer dans un point colis,un magasin.ne pas se faire livrer par colis privé des voleurs, très très déçu voilà",05 février 2025
Shein,1,"J’ai payé une dizaine d’euros des frais de livraison accélérée. Finalement j’ai reçu ma commande en 3semaines…J’ai essayé de joindre le service client par téléphone, cependant ils ont juste une IA.L’IA n’a pas réussi à comprendre mon problème.",07 février 2025
Shein,2,"Nul les prix son trop chère maintient le service client et horrible  les réductions c’est du n’importe quoi il son oublié leur valeur du début et puit les point 400€ j’ai eux j’ai ur 400 point=  4,00€  vert honteux",04 février 2025
Shein,3,"Qualité des produits pour certains sont correcte pour d’autres à revoir les tailles. Coter remboursement insatisfaite, j’ai pas était remboursée de la totalité de mes articles renvoyer, je suis déçu 😢",22 janvier 2025
Shein,1,Articles manquants colis ouvert mais aucun remboursement ou renvoie on me dis que tt était dedans honteux,05 février 2025
Shein,3,"Je suis très satisfaite de certains produits que j'ai commandés, cependant, l'un d'entre eux ne correspond pas à ma commande. Il s'agit de l'un des deux modèles de nuisette : l'une d'elles n'a pas du tout la même coupe et la taille souhaitée. Étant donné que j'avais commandé cette nuisette dans l'espoir de la recevoir avant le 7 février, je n'ai pas eu le cœur de la recommander, car notre week-end en amoureux avec mon mari sera déjà terminé.",03 février 2025
Shein,1,Cela fait 3mois que le colis est retourné à l’expéditeur il refuse de me rendre mon argent !!!!!! LE COLIS EST ECROT SUR LE NUMÉRO DE SUIVI QU’IL EST RETOURNÉ À LEXPEDITEUR !!!!!!!!,07 février 2025
Shein,1,Date de l'expérience: 05 février 2025,05 février 2025
Shein,3,les pyjamas reçus sont en polyester.  j'aurais préféré qu'ils soient en coton.,05 février 2025
Shein,1,"Que des problèmes sur les dernières commandes …. Les remboursements qui tardent des colis perdu , c’est de pire en pire",22 janvier 2025
